1    0.833333    0.833333
2    0.9    0.848485
3    0.928571    0.854167
4    0.944444    0.857143
5    0.954545    0.858974
6    0.961538    0.860215
7    0.966667    0.861111
8    0.970588    0.861789
9    0.973684    0.862319
10    0.97619    0.862745
11    0.978261    0.863095
12    0.98    0.863388
13    0.981481    0.863636
14    0.982759    0.86385
15    0.983871    0.864035
16    0.984848    0.864198
17    0.985714    0.864341
18    0.986486    0.864469
19    0.987179    0.864583
20    0.987805    0.864686
21    0.988372    0.86478
22    0.988889    0.864865
23    0.989362    0.864943
24    0.989796    0.865014
25    0.990196    0.865079
26    0.990566    0.86514
27    0.990909    0.865196
28    0.991228    0.865248
29    0.991525    0.865297
30    0.991803    0.865342
31    0.992063    0.865385
32    0.992308    0.865424
33    0.992537    0.865462
34    0.992754    0.865497
35    0.992958    0.86553
36    0.993151    0.865562
37    0.993333    0.865591
38    0.993506    0.86562
39    0.993671    0.865646
40    0.993827    0.865672
41    0.993976    0.865696
42    0.994118    0.865719
43    0.994253    0.865741
44    0.994382    0.865762
45    0.994505    0.865782
46    0.994624    0.865801
47    0.994737    0.865819
48    0.994845    0.865837
49    0.994949    0.865854
50    0.99505    0.86587
